date,BOCORWF1,CAPTL_WF,CULLRGWF,GULLRWF1,GUNNING1,SAPHWF1,TARALGA1,WOODLWN1,WRWF1
2018/1/3 1:00,4.8225,54.3629995,18.15333325,50.02942167,29.55223417,0,32.18093833,18.91500167,65.71781083
2018/1/3 2:00,10.5725,30.06933283,15.95833325,61.222235,29.09175667,0,41.55437333,17.15325417,56.0154175
2018/1/3 3:00,3.850833333,38.4366665,15.55333317,67.236355,32.50036833,0,30.72312583,13.30575333,14.83031167
2018/1/3 4:00,0.1975,8.2363345,15.966667,44.470955,27.53437583,0,27.43187917,9.754495,-1.119271667
2018/1/3 5:00,2.305833333,10.71599958,14.67666667,37.72043917,19.74574917,0,32.04938,8.405250833,-1.09198
2018/1/3 6:00,11.70416667,11.67766767,13.195,35.50613583,14.97455417,0,34.84437583,6.4702525,1.252815833
2018/1/3 7:00,13.0475,5.0743345,9.129166667,38.37407083,14.61114417,0,28.33625333,1.486500833,2.654268333
2018/1/3 8:00,18.15,0.534999833,6.444166667,23.6246625,7.965376667,0,21.86531417,3.503246667,11.86687417
2018/1/3 9:00,21.27083333,0,5.768333333,16.5234325,8.652520833,0,24.96968417,0.951751667,17.11281
2018/1/3 10:00,24.83333333,0,3.299166667,12.015405,5.205955833,0,22.96124917,0.526499167,10.37781
2018/1/3 11:00,12.43416667,0,1.378333333,6.847771667,2.724513333,0,21.334375,0.11925,11.3025
2018/1/3 12:00,17.62916667,0,0.403333333,4.657345,2.113475,0,22.2693775,0,19.76979167
2018/1/3 13:00,19.695,0,0.094166667,4.390253333,0.158435,0,25.76687583,0.142501667,17.6470825
2018/1/3 14:00,13.73166667,8.29566575,-0.041666667,3.98494,-0.134090833,0,26.414995,7.061246667,30.51239583
2018/1/3 15:00,20.9625,78.84099975,-0.014166667,5.068638333,-0.258203333,0,32.13281333,19.599,28.325105
2018/1/3 16:00,56.02833333,121.0940026,9.51583325,7.187405833,1.446630833,0,33.43781417,33.21000083,71.57687417
2018/1/3 17:00,55.47583333,129.9376641,21.1858335,49.5123275,27.4690475,0,38.46406583,36.34799917,97.09802083
2018/1/3 18:00,44.4675,110.7076652,28.08416675,83.641175,39.53764917,0,47.51906083,34.7557525,108.8868733
2018/1/3 19:00,27.3925,86.3049985,28.2775,102.4574458,40.16726417,0,48.22124917,31.48274667,112.2436467
2018/1/3 20:00,16.1375,71.11066617,27.91499983,93.714485,39.66037,0,44.91500083,30.30675083,116.3051058
2018/1/3 21:00,3.518333333,66.94999942,26.68500008,83.17187667,39.34906667,0,33.98093833,28.5052475,101.2496867
2018/1/3 22:00,1.25,42.31433425,21.35999967,75.65337167,35.90732667,0,31.3556275,22.73775,109.0298983
2018/1/3 23:00,3.115833333,33.83300025,20.7225,61.97997083,35.99996417,0,27.33437333,16.98450417,101.0922908
2018/1/4 0:00,5.496666667,21.61899883,16.18166658,54.92822167,31.09811083,0,25.77343333,14.80125,91.29135667
2018/1/4 1:00,0.3,10.02166683,15.47500017,42.8821025,24.44295583,0,26.84531583,11.22599583,84.443125
2018/1/4 2:00,0.875833333,2.702332833,15.3625,29.46042917,24.6018475,0,21.584375,7.4415,77.31551917
2018/1/4 3:00,0,4.99699975,12.23333333,26.76569,22.51700583,0,17.91343917,5.846251667,58.37792083
2018/1/4 4:00,0,0,8.210833333,21.93937917,18.62318917,0,17.21906583,3.1657525,52.6042725
2018/1/4 5:00,0.463333333,0,5.760833333,20.16878333,10.66879333,0,15.99156167,0.236999167,36.42604167
2018/1/4 6:00,0,0,4.655,12.37467333,8.4048275,0,14.97563083,0,15.3074975
2018/1/4 7:00,0,0,4.3625,11.2679325,7.9152575,0,14.73187583,0,3.480624167
2018/1/4 8:00,0,0,2.595833333,4.563495833,4.080155833,0,14.73593667,0,-0.950415833
2018/1/4 9:00,0.068333333,0,0.241666667,0.162125,-0.029286667,0,14.7781275,0,-1.128438333
2018/1/4 10:00,0,0,-0.065833333,1.195475833,-0.153995,0,14.692815,0,1.232708333
2018/1/4 11:00,6.2975,0,0.015,6.264139167,0.919635833,0,15.00125333,0,1.776145833
2018/1/4 12:00,8.154166667,0,0.245,6.2351025,2.023813333,0,14.85125167,0,4.826980833
2018/1/4 13:00,10.27166667,0,0.469166667,5.688134167,1.819165833,0,14.96406333,0,9.933021667
2018/1/4 14:00,18.71416667,0,0.0475,3.857805833,1.0840825,0,17.63499833,0,13.86895667
2018/1/4 15:00,29.97833333,0,0.075,2.119615833,0.028570833,0,16.85843833,0.063748333,12.0201025
2018/1/4 16:00,19.97083333,21.56599933,0.085,1.103325,0.040804167,0,17.753125,3.234750833,2.782605
2018/1/4 17:00,26.75666667,71.79133283,0.479166667,0.52051,-0.269310833,0,25.58718167,19.20675083,-0.805314167
2018/1/4 18:00,30.85666667,76.05633225,3.8475,0.2380725,-0.274336667,0,29.0175,19.85699833,0.918749167
2018/1/4 19:00,11.735,49.67566558,12.33,39.37585417,18.7138425,0,28.47312083,16.99275,39.53875
